,"AUTHORIZED FLORIDA INSURER FINANCIAL ABSTRACTS, BY NAIC STATEMENT TYPE",CALENDAR YEAR 2016,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,COMPANY,NAIC,DOMICILE,Net Admitted Assests($),Liabilities($),Capital and Surplus($),Florida Direct Premiums Written($)
297,INVESTORS HERITAGE LIFE INS CO,64904,FOREIGN,448992906,423034867,25958039,458163
298,INVESTORS LIFE INS CO N AMER,63487,FOREIGN,614817905,559950948,54866957,882723
299,JACKSON NATL LIFE INS CO,65056,FOREIGN,204781178712,199862310898,4918867814,1220542033
300,JEFFERSON NATL LIFE INS CO,64017,FOREIGN,4610567423,4571535839,39031584,65481094
301,JOHN ALDEN LIFE INS CO,65080,FOREIGN,227574931,211987197,15587734,3893229
302,JOHN HANCOCK LIFE & HLTH INS CO,93610,FOREIGN,11875204106,11151646935,723557171,16341042
303,JOHN HANCOCK LIFE INS CO USA,65838,FOREIGN,229892290373,223738547929,6153742444,1336227609
304,KANAWHA INS CO,65110,FOREIGN,2342977664,2196013339,146964325,6521396
305,KANSAS CITY LIFE INS CO,65129,FOREIGN,3359087772,3035784145,323303623,15055394
306,LAFAYETTE LIFE INS CO,65242,FOREIGN,4911434820,4622779463,288655357,24334308
307,LANDMARK LIFE INS CO,82252,FOREIGN,46419442,42413356,4006086,16680
308,LIBERTY BANKERS LIFE INS CO,68543,FOREIGN,1547600575,1342741500,204859075,19499918
309,LIBERTY LIFE ASSUR CO OF BOSTON,65315,FOREIGN,17479290194,16318329860,1160960334,114071547
310,LIBERTY NATL LIFE INS CO,65331,FOREIGN,7820780349,7247108328,573672021,62057264
311,LIFE INS CO OF AL,65412,FOREIGN,120837639,80208776,40628863,395764
312,LIFE INS CO OF N AMER,65498,FOREIGN,8604445127,7126687851,1477757276,169390740
313,LIFE INS CO OF THE SOUTHWEST,65528,FOREIGN,16805443841,15737562378,1067881462,188947441
314,LIFE OF THE SOUTH INS CO,97691,FOREIGN,103382496,83020525,20361973,5628131
315,LIFESECURE INS CO,77720,FOREIGN,309154669,276650195,32504474,4328956
316,LIFESHIELD NATL INS CO,99724,FOREIGN,69761583,45269121,24492462,399854
317,LINCOLN BENEFIT LIFE CO,65595,FOREIGN,11517599186,10958064527,559534659,108084195
318,LINCOLN HERITAGE LIFE INS CO,65927,FOREIGN,935388416,823908401,111480015,34904779
319,LINCOLN LIFE & ANN CO OF NY,62057,FOREIGN,13729788477,12522437830,1207350647,10083480
320,LINCOLN NATL LIFE INS CO,65676,FOREIGN,221258928365,213785949303,7472979062,1682091080
321,LOMBARD INTL LIFE ASSUR CO,60232,FOREIGN,5912319981,5885931277,26388704,33480857
322,LONDON LIFE REINS CO,76694,FOREIGN,289306204,230767415,58538789,891
323,LONGEVITY INS CO,68446,FOREIGN,7809814,236,7809578,7564
324,LOYAL AMER LIFE INS CO,65722,FOREIGN,272856422,186582628,86273794,2797391
325,LUMICO LIFE INS CO,73504,FOREIGN,52568682,9285052,43283630,457287
326,MADISON NATL LIFE INS CO INC,65781,FOREIGN,329743532,150765036,178978496,3553012
327,MANHATTAN LIFE INS CO,65870,FOREIGN,543131707,492055020,51076687,8734710
328,MANHATTAN NATL LIFE INS CO,67083,FOREIGN,166415455,154848151,11567304,1170012
329,MAPFRE LIFE INS CO,85561,FOREIGN,21581212,3443959,18137253,10645
330,MASSACHUSETTS MUT LIFE INS CO,65935,FOREIGN,223670465625,208246975669,15423489956,1287966593
331,MEDAMERICA INS CO OF FL,12967,DOMESTIC,36587283,32931986,3655297,4027201
332,MEDICO CORP LIFE INS CO,79987,FOREIGN,53706213,31933119,21773094,190344
333,MEDICO INS CO,31119,FOREIGN,87268815,48515924,38752891,7841038
334,MEMBERS LIFE INS CO,86126,FOREIGN,73915859,50710428,23205430,27115186
335,MERIT LIFE INS CO,65951,FOREIGN,559261444,425892504,133368940,5105877
336,METROPOLITAN LIFE INS CO,65978,FOREIGN,396366830418,385172010807,11194819611,1037911189
337,METROPOLITAN TOWER LIFE INS CO,97136,FOREIGN,4403664879,3735008496,668656383,9279364
338,MID WEST NATL LIFE INS CO OF TN,66087,FOREIGN,86085721,68967186,17118535,1655748
339,MIDLAND NATL LIFE INS CO,66044,FOREIGN,51098305638,47999181097,3099124541,582610210
340,MIDWESTERN UNITED LIFE INS CO,66109,FOREIGN,234433119,103054582,131378537,115441
341,MINNESOTA LIFE INS CO,66168,FOREIGN,40438053170,37466451287,2971601883,424492676
342,MML BAY STATE LIFE INS CO,70416,FOREIGN,4814287017,4525992578,288294439,2363807
343,MONITOR LIFE INS CO OF NY,81442,FOREIGN,22273344,10617803,11655542,1278937
344,MONY LIFE INS CO,66370,FOREIGN,7386893667,6921905389,464988278,11834922
345,MONY LIFE INS CO OF AMER,78077,FOREIGN,3155552671,2836980544,318572127,54285912
346,MOTORISTS LIFE INS CO,66311,FOREIGN,467352042,405151371,62200671,1589302
347,MUNICH AMER REASSUR CO,66346,FOREIGN,7663885484,6993645062,670240422,0
348,MUNICH RE US LIFE CORP,69604,FOREIGN,10832622,2810895,8021727,0
349,MUTUAL OF AMER LIFE INS CO,88668,FOREIGN,19041784266,18048362675,993421591,114257271
350,MUTUAL OF OMAHA INS CO,71412,FOREIGN,7278931188,4230646642,3048284547,55938315
351,MUTUAL SAVINGS LIFE INS CO,66397,FOREIGN,462360778,426090421,36270357,132651
352,MUTUAL TRUST LIFE INS CO A PAN AMER,66427,FOREIGN,1959783299,1814969749,144813550,8268994
353,NATIONAL BENEFIT LIFE INS CO,61409,FOREIGN,513917789,349602025,164315762,3571707
354,NATIONAL GUARDIAN LIFE INS CO,66583,FOREIGN,3657858820,3364593342,293265478,43752960
355,NATIONAL INTEGRITY LIFE INS CO,75264,FOREIGN,4692809344,4333547249,359262095,2093422
356,NATIONAL LIFE INS CO,66680,FOREIGN,9276886619,7351659075,1925227544,36664329
357,NATIONAL SECURITY INS CO,66788,FOREIGN,55230848,41123902,14106947,74257
358,NATIONAL TEACHERS ASSOC LIFE INS CO,87963,FOREIGN,510506381,408075846,102430535,4222181
359,NATIONAL WESTERN LIFE INS CO,66850,FOREIGN,10820603102,9569241736,1251361366,83534113
360,NATIONWIDE LIFE & ANN INS CO,92657,FOREIGN,14466198988,13497950978,968248010,271992459
361,NATIONWIDE LIFE INS CO,66869,FOREIGN,133344875355,128136433174,5208442181,1392181103
362,NEW ENGLAND LIFE INS CO,91626,FOREIGN,9801684516,9346851932,454832584,15953642
363,NEW ERA LIFE INS CO,78743,FOREIGN,504188333,429098995,75089338,1603252
364,NEW ERA LIFE INS CO OF MIDWEST,69698,FOREIGN,116831604,104493748,12337856,0
365,NEW YORK LIFE INS & ANN CORP,91596,FOREIGN,141352943548,132628428683,8724514865,948114080
366,NEW YORK LIFE INS CO,66915,FOREIGN,170761834718,150654273612,20107561106,442940482
367,NIPPON LIFE INS CO OF AMER,81264,FOREIGN,212259256,72702780,139556476,0
368,NORTH AMER CO LIFE & HLTH INS,66974,FOREIGN,22182254911,20772157749,1410097162,306373676
369,NORTHWESTERN LONG TERM CARE INS CO,69000,FOREIGN,172726124,90499151,82226973,34951088
370,NORTHWESTERN MUT LIFE INS CO,67091,FOREIGN,250507191101,230277606895,20229584206,842864713
371,NYLIFE INS CO OF AZ,81353,FOREIGN,182925507,78992583,103932924,2282723
372,OCCIDENTAL LIFE INS CO OF NC,67148,FOREIGN,254588767,226022876,28565891,2238512
373,OHIO NATL LIFE ASSUR CORP,89206,FOREIGN,3956973955,3679023277,277950678,43955343
374,OHIO NATL LIFE INS CO,67172,FOREIGN,29061741064,27979650464,1082090604,224540012
375,OHIO STATE LIFE INS CO,67180,FOREIGN,13414318,2820523,10593795,2507724
376,OLD AMER INS CO,67199,FOREIGN,258567235,232253045,26314193,2419003
377,OLD REPUBLIC LIFE INS CO,67261,FOREIGN,124957804,93529389,31428415,682010
378,OLD UNITED LIFE INS CO,76007,FOREIGN,81609239,37757381,43851858,269513
379,OMAHA HLTH INS CO,88080,FOREIGN,17085943,362870,16723073,0
380,OPTIMUM RE INS CO,88099,FOREIGN,170051835,136055666,33996169,0
381,OPTUM INS OF OH INC,69647,FOREIGN,87073300,46648777,40424523,46440
382,OXFORD LIFE INS CO,76112,FOREIGN,1684348203,1495069378,189278825,20262008
383,OZARK NATL LIFE INS CO,67393,FOREIGN,801855590,665568592,136286998,539326
384,PACIFIC LIFE & ANN CO,97268,FOREIGN,6582775677,6043345385,539430292,1608426
385,PACIFIC LIFE INS CO,67466,FOREIGN,118628447191,110080026927,8548420265,609900471
386,PACIFICARE LIFE & HLTH INS CO,70785,FOREIGN,189203330,8366491,180836839,637033
387,PAN AMER ASSUR CO,93459,FOREIGN,24406865,6149729,18257136,4976382
388,PAN AMER ASSUR CO INTL INC,13602,ALIEN,4901242,26209,4875033,0
389,PAN AMER LIFE INS CO,67539,FOREIGN,1260900689,1016340031,244560658,9372797
390,PARK AVENUE LIFE INS CO,60003,FOREIGN,267600501,204070476,63530025,28274
391,PARKER CENTENNIAL ASSUR CO,71099,FOREIGN,90785865,44301438,46484427,0
392,PARTNERRE LIFE REINS CO OF AMER,74900,FOREIGN,45801223,22984669,22816554,0
393,PAUL REVERE LIFE INS CO,67598,FOREIGN,3790415273,3539018942,251396331,11653237
394,PAVONIA LIFE INS CO OF MI,93777,FOREIGN,1057409955,994215991,63193964,2660668
395,PENN INS & ANN CO,93262,FOREIGN,4371818710,3977899274,393919436,16055049
396,PENN MUT LIFE INS CO,67644,FOREIGN,19105796954,17365180924,1740616030,121768816
397,PHILADELPHIA AMER LIFE INS CO,67784,FOREIGN,263269024,229050674,34218350,1859552
398,PHL VARIABLE INS CO,93548,FOREIGN,6386821705,6220088765,166732940,76183383
399,PHOENIX LIFE & ANN CO,93734,FOREIGN,31841275,20952426,10888849,486174
400,PHOENIX LIFE INS CO,67814,FOREIGN,12450786168,12057618427,393167741,45106317
401,PHYSICIANS LIFE INS CO,72125,FOREIGN,1596430967,1445651585,150779382,9264150
402,PHYSICIANS MUT INS CO,80578,FOREIGN,2208570092,1289404177,919165915,8171381
403,PIONEER AMER INS CO,67873,FOREIGN,55143139,43511157,11631982,1081998
404,PIONEER MUT LIFE INS CO,67911,FOREIGN,517255353,470796056,46459297,607945
405,PIONEER SECURITY LIFE INS CO,67946,FOREIGN,82928858,27707887,55220971,4671318
406,PLATEAU INS CO,97152,FOREIGN,25944557,14488932,11455625,3081279
407,PRIMERICA LIFE INS CO,65919,FOREIGN,1431574628,858826136,572748492,154702195
408,PRINCIPAL LIFE INS CO,61271,FOREIGN,171337717794,166693927063,4643790731,944199816
409,PRINCIPAL NATL LIFE INS CO,71161,FOREIGN,239847686,111971824,127875862,47399775
410,PROFESSIONAL INS CO,68047,FOREIGN,110001392,68046103,41955289,3011690
411,PROTECTIVE LIFE & ANNUITY INS CO,88536,FOREIGN,1959837446,1787836824,172000622,1064846
412,PROTECTIVE LIFE INS CO,68136,FOREIGN,44644937893,40408038215,4236899677,236578493
413,PROVIDENT AMER LIFE & HLTH INS CO,67903,FOREIGN,19485163,1418206,18066957,27768
414,PROVIDENT LIFE & ACCIDENT INS CO,68195,FOREIGN,8272593093,7544425745,728167348,68285742
415,PRUCO LIFE INS CO,79227,FOREIGN,111524057216,110273970420,1250086796,831389473
416,PRUDENTIAL ANN LIFE ASSUR CORP,86630,FOREIGN,58775749272,53057595812,5718153460,6472691
417,PRUDENTIAL INS CO OF AMER,68241,FOREIGN,260294334274,249120638357,11173695917,903292264
418,PRUDENTIAL RETIREMENT INS & ANN CO,93629,FOREIGN,71587950909,70567460548,1020490361,169986592
419,PURITAN LIFE INS CO OF AMER,71390,FOREIGN,42209790,30534327,11675463,39841
420,PYRAMID LIFE INS CO,68284,FOREIGN,76841687,62070488,14771199,1632331
421,RELIABLE LIFE INS CO,68357,FOREIGN,20990037,9598266,11391771,26300
422,RELIANCE STANDARD LIFE INS CO,68381,FOREIGN,10889433720,9823342657,1066091063,139523764
423,RELIASTAR LIFE INS CO,67105,FOREIGN,19828482342,18166445936,1662036406,231324887
424,RELIASTAR LIFE INS CO OF NY,61360,FOREIGN,2978004215,2664750892,313253323,7092770
425,RESERVE NATL INS CO,68462,FOREIGN,126855475,86640290,40215185,2379652
426,RESOURCE LIFE INS CO,61506,FOREIGN,7023790,349449,6674341,0
427,RGA REINS CO,93572,FOREIGN,25432771662,23911127895,1521643767,0
428,RIVERSOURCE LIFE INS CO,65005,FOREIGN,100920660742,97949480044,2971180698,371928781
429,S USA LIFE INS CO INC,60183,FOREIGN,13102299,5569180,7533119,120834
430,SAGICOR LIFE INS CO,60445,FOREIGN,1086409525,1014159471,72250054,12900274
431,SCOR GLOBAL LIFE AMER REINS CO,64688,FOREIGN,1327603409,1123542518,204060891,0
432,SCOR GLOBAL LIFE RE INS CO OF DE,87017,FOREIGN,470462796,369419864,101042927,0
433,SCOR GLOBAL LIFE USA REINS CO,97071,FOREIGN,767759930,434731198,333028732,0
434,SCOTTISH RE US INC,87572,FOREIGN,1501776685,1445057031,56719654,0
435,SECURIAN LIFE INS CO,93742,FOREIGN,577115340,316862858,260252482,37529333
436,SECURITY BENEFIT LIFE INS CO,68675,FOREIGN,29812875847,28251208324,1561667523,332633734
437,SECURITY LIFE OF DENVER INS CO,68713,FOREIGN,13294842007,12397701882,897140125,78184270
438,SECURITY MUT LIFE INS CO OF NY,68772,FOREIGN,2722394387,2559657370,162737017,14764385
439,SECURITY NATL LIFE INS CO,69485,FOREIGN,567108091,530318733,36789358,2893056
440,SENIOR HLTH INS CO OF PA,76325,FOREIGN,2744535287,2716512099,28023187,8255127
441,SENIOR LIFE INS CO,78662,FOREIGN,50930796,42609501,8321295,4033167
442,SENTINEL AMER LIFE INS CO,77119,FOREIGN,27877739,22912729,4965009,47
443,SENTINEL SECURITY LIFE INS CO,68802,FOREIGN,617141221,576988541,40152682,114260188
444,SENTRY LIFE INS CO,68810,FOREIGN,6092874171,5829902408,262971763,12484058
445,SETTLERS LIFE INS CO,97241,FOREIGN,401842888,359763272,42079616,1419033
446,SHELTERPOINT INS CO,89958,DOMESTIC,8573444,458467,8114976,0
447,SHELTERPOINT LIFE INS CO,81434,FOREIGN,106532951,47737342,58795609,0
448,SHENANDOAH LIFE INS CO,68845,FOREIGN,1077355210,993630102,83725108,4735779
449,SOUTHERN FARM BUREAU LIFE INS CO,68896,FOREIGN,13926215441,11388865126,2537350315,50017639
450,SOUTHERN LIFE & HLTH INS CO,88323,FOREIGN,74970894,45446695,29524199,0
451,SOUTHLAND NATL INS CORP,79057,FOREIGN,385428216,348787610,36640606,21136
452,STANDARD INS CO,69019,FOREIGN,21792138976,20751767638,1040371338,273051761
453,STANDARD LIFE & ACCIDENT INS CO,86355,FOREIGN,518825685,231738397,287087288,10151141
454,STANDARD LIFE & CAS INS CO,71706,FOREIGN,29559667,25915115,3644552,556773
455,STANDARD SECURITY LIFE INS CO OF NY,69078,FOREIGN,154942871,84322781,70620090,6608086
456,STARMOUNT LIFE INS CO,68985,FOREIGN,76213202,43962854,32250348,1884091
457,STATE FARM LIFE INS CO,69108,FOREIGN,70061341448,59884071623,10177269825,269644142
458,STATE LIFE INS CO,69116,FOREIGN,6754114809,6294297086,459817723,63648159
459,STATE MUT INS CO,69132,FOREIGN,279385127,253303609,26081518,3988684
460,STERLING INVESTORS LIFE INS CO,89184,FOREIGN,32015344,22021034,9994310,760309
461,STERLING LIFE INS CO,77399,FOREIGN,46870548,22512674,24357874,179191
462,SUN LIFE & HLTH INS CO,80926,FOREIGN,485310973,286810450,198500523,2363373
463,SUNSET LIFE INS CO OF AMER,69272,FOREIGN,329105863,296748524,32357341,211665
464,SURETY LIFE INS CO,69310,FOREIGN,19738471,756080,18982391,1563110
465,SWISS RE LIFE & HLTH AMER INC,82627,FOREIGN,14226812058,12845934340,1380877718,0
466,SYMETRA LIFE INS CO,68608,FOREIGN,34289243454,32206859500,2082383954,455395174
467,SYMETRA NATL LIFE INS CO,90581,FOREIGN,17134704,6474427,10660277,7809
468,TEACHERS INS & ANN ASSOC OF AMER,69345,FOREIGN,282442385515,246859296108,35583089407,490710517
469,TEXAS LIFE INS CO,69396,FOREIGN,1104949199,1025296545,79652656,6484334
470,THE CINCINNATI LIFE INS CO,76236,FOREIGN,4266450845,4066122787,200328058,8516782
471,THE SAVINGS BANK MUT LIFE INS CO OF,70435,FOREIGN,3016369640,2790751674,225617966,15517432
472,THRIVENT LIFE INS CO,97721,FOREIGN,3615270003,3458883742,156386262,4400777
473,TIAA CREF LIFE INS CO,60142,FOREIGN,11882470648,11472796918,409673730,49065311
474,TIER ONE INS CO,92908,FOREIGN,25262844,9286731,15976113,0
475,TIME INS CO,69477,FOREIGN,219768862,128741413,91027449,64033808
476,TRANS OCEANIC LIFE INS CO,69523,FOREIGN,70576913,37730411,32846502,3014
477,TRANS WORLD ASSUR CO,69566,FOREIGN,354355013,267392809,86962204,462625
478,TRANSAMERICA ADVISORS LIFE INS CO,79022,FOREIGN,8309562668,7613519633,696043035,3239904
479,TRANSAMERICA FINANCIAL LIFE INS CO,70688,FOREIGN,32318394920,31226090494,1092304426,1112864286
480,TRANSAMERICA LIFE INS CO,86231,FOREIGN,131790026865,126555271127,5234755738,873297818
481,TRANSAMERICA PREMIER LIFE INS CO,66281,FOREIGN,41515551779,39837874544,1677677235,203539376
482,TRUSTMARK INS CO,61425,FOREIGN,1460155869,1165404624,294751245,61183465
483,TRUSTMARK LIFE INS CO,62863,FOREIGN,308648214,145920680,162727534,3264520
484,UBS LIFE INS CO USA,67423,FOREIGN,40992604,990856,40001748,0
485,UNICARE LIFE & HLTH INS CO,80314,FOREIGN,305984845,217920024,88064821,513084
486,UNIFIED LIFE INS CO,11121,FOREIGN,219032669,193173999,25858670,4756776
487,UNIMERICA INS CO,91529,FOREIGN,476392240,321653779,154738461,4483477
488,UNION FIDELITY LIFE INS CO,62596,FOREIGN,19644463183,18878624232,765838953,1656616
489,UNION LABOR LIFE INS CO,69744,FOREIGN,3354734395,3265570913,89163482,2290040
490,UNION NATL LIFE INS CO,69779,FOREIGN,19921853,4283848,15638004,20708
491,UNION SECURITY INS CO,70408,FOREIGN,2690261472,2531733878,158527594,65219389
492,UNITED AMER INS CO,92916,FOREIGN,1563266556,1405561850,157704706,124386903
493,UNITED HERITAGE LIFE INS CO,63983,FOREIGN,559098146,497137773,61960373,80274
494,UNITED HOME LIFE INS CO,69922,FOREIGN,88215778,68140066,20075712,4689462
495,UNITED INS CO OF AMER,69930,FOREIGN,3775972788,3368558444,407414345,21886155
496,UNITED LIFE INS CO,69973,FOREIGN,1524559458,1384753616,139805842,2232006
497,UNITED OF OMAHA LIFE INS CO,69868,FOREIGN,20698229461,19268716890,1429512571,283431657
498,UNITED STATES LIFE INS CO IN THE CIT,70106,FOREIGN,28609893132,26772924393,1836968739,48919897
499,UNITED WORLD LIFE INS CO,72850,FOREIGN,119805752,68393490,51412262,9900452
500,UNITEDHEALTHCARE INS CO,79413,FOREIGN,17922647014,12672200284,5250446730,5769901661
501,UNITEDHEALTHCARE LIFE INS CO,97179,FOREIGN,508126710,340622145,167504565,85960338
502,UNITY FINANCIAL LIFE INS CO,63819,FOREIGN,227033957,213731716,13302240,3823802
503,UNUM INS CO,67601,FOREIGN,59484460,14485711,44998748,158194
504,UNUM LIFE INS CO OF AMER,62235,FOREIGN,21077758126,19391241171,1686516956,225438852
505,US BR GREAT WEST LIFE ASSUR CO,80705,FOREIGN,77029751,54471419,22558332,704011
506,US BR SUN LIFE ASSUR CO OF CANADA,80802,ALIEN,19562812546,18543768661,1019043885,189932178
507,US BUSINESS OF CANADA LIFE ASSUR CO,80659,ALIEN,4567189494,4410236621,156952873,4423073
508,US FINANCIAL LIFE INS CO,84530,FOREIGN,599156037,490359005,108797032,9111233
509,USAA LIFE INS CO,69663,FOREIGN,24028816764,21666374222,2362442542,209675562
510,USABLE LIFE,94358,FOREIGN,498200972,256570637,241630334,4235936
511,VANTIS LIFE INS CO,68632,FOREIGN,255377677,200999226,54378450,2033628
512,VARIABLE ANN LIFE INS CO,70238,FOREIGN,76674792671,74286968325,2387824346,875100157
513,VOYA INS & ANN CO,80942,FOREIGN,60761895419,58855681148,1906214271,126594900
514,VOYA RETIREMENT INS & ANN CO,86509,FOREIGN,93159736743,91200413703,1959323040,678103157
515,WASHINGTON NATL INS CO,70319,FOREIGN,5397646217,4966502357,431143860,32566248
516,WEST COAST LIFE INS CO,70335,FOREIGN,5158402161,4710023433,448378727,32295186
517,WESTERN & SOUTHERN LIFE INS CO,70483,FOREIGN,10107674362,5292144253,4815530109,9720941
518,WESTERN SOUTHERN LIFE ASSUR CO,92622,FOREIGN,12350056775,11257218698,1092838077,26638532
519,WESTERN UNITED LIFE ASSUR CO,85189,FOREIGN,1157780056,1083075378,74704678,77656
520,WILCAC LIFE INS CO,62413,FOREIGN,2315205223,2169235681,145969542,2135718
521,WILCO LIFE INS CO,65900,FOREIGN,3197405331,3040516358,156888995,13537173
522,WILLIAM PENN LIFE INS CO OF NY,66230,FOREIGN,1169567176,1025301842,144265335,9237971
523,WILTON REASSUR CO,66133,FOREIGN,2866569270,2192395329,674173941,0
524,WILTON REASSUR LIFE CO OF NY,60704,FOREIGN,905141578,808883750,96257825,3062735
525,ZALE LIFE INS CO,71323,FOREIGN,11752088,2050039,9702049,153899
526,ZURICH AMER LIFE INS CO,90557,FOREIGN,12330200424,12205849470,124350954,28251922
527,"PROPERTY AND CASUALTY,  TOTAL FLORIDA DIRECT PREMIUMS WRITTEN: $47,011,714,401",,,,,,
528,21ST CENTURY CENTENNIAL INS CO,34789,FOREIGN,593045882,4188168,588857714,132460020
529,21ST CENTURY IND INS CO,43974,FOREIGN,67946445,428726,67517719,1967898
530,21ST CENTURY INS CO,12963,FOREIGN,944964921,10097298,934867623,0
531,21ST CENTURY N AMER INS CO,32220,FOREIGN,584934483,21339696,563594787,10136142
532,21ST CENTURY NATL INS CO,36587,FOREIGN,24572152,232001,24340151,0
533,21ST CENTURY PREFERRED INS CO,22225,FOREIGN,42166689,471645,41695044,3035503
534,21ST CENTURY PREMIER INS CO,20796,FOREIGN,285155716,2144647,283011069,9450
535,21ST CENTURY SECURITY INS CO,23833,FOREIGN,199667796,2107344,197560452,0
536,ACA FIN GUAR CORP,22896,FOREIGN,309357530,267250796,42106734,0
537,ACADEMIC MEDICAL PROFESSIONALS INS E,12934,FOREIGN,4498735,1433169,3065566,50303
538,ACCEPTANCE IND INS CO,20010,FOREIGN,297366846,157533927,139832919,3353014
539,ACCESS INS CO,11711,FOREIGN,181261951,147944987,33316964,0
540,ACCIDENT FUND GEN INS CO,12304,FOREIGN,272125115,202248702,69876413,1965521
541,ACCIDENT FUND INS CO OF AMER,10166,FOREIGN,3114132876,2216761874,897371002,4627922
542,ACCIDENT FUND NATL INS CO,12305,FOREIGN,283481379,202644372,80837007,2144142
543,ACCIDENT INS CO INC,11573,FOREIGN,100317175,87265088,13052086,3521845
544,ACCREDITED SURETY & CAS CO INC,26379,DOMESTIC,46001527,22930883,23070644,903163
545,ACE AMER INS CO,22667,FOREIGN,13035791582,10223425255,2812366327,278778742
546,ACE FIRE UNDERWRITERS INS CO,20702,FOREIGN,114294201,37415473,76878728,985696
547,ACE INS CO OF THE MIDWEST,26417,FOREIGN,99244479,32659443,66585036,96702455
548,ACE PROP & CAS INS CO,20699,FOREIGN,8192211568,6034628945,2157582623,47016560
549,ACIG INS CO,19984,FOREIGN,460352638,326611908,133740727,1766573
550,ACSTAR INS CO,22950,FOREIGN,58543280,31422233,27121047,114419
551,ADDISON INS CO,10324,FOREIGN,118202980,71171292,47031688,9811644
552,ADM INS CO,33987,FOREIGN,638060879,614186965,23873914,0
553,ADMIRAL IND CO,44318,FOREIGN,57708133,16035142,41672991,0
554,ADMIRAL INS CO,24856,FOREIGN,737311304,85241287,652070017,32199652
555,ADRIATIC INS CO,39381,FOREIGN,88172154,18599380,69572774,3046842
556,ADVANCED PROVIDERS INS RRG INC,12166,FOREIGN,1478868,76632,1402236,0
557,ADVANTAGE WORKERS COMP INS CO,40517,FOREIGN,491477936,280870553,210607383,370350
558,AEGIS SECURITY INS CO,33898,FOREIGN,127437630,71897565,55540065,2446274
559,AETNA INS CO OF CT,36153,FOREIGN,16103951,458083,15645868,0
560,AFFILIATED FM INS CO,10014,FOREIGN,2992883000,1374231235,1618651765,22745890
561,AFFILIATES INS RECIP A RRG,13677,FOREIGN,6839353,1599878,5239475,32452
562,AGCS MARINE INS CO,22837,FOREIGN,326584046,138407206,188176840,36615887
563,AGENCY INS CO OF MD INC,35173,FOREIGN,145302440,105160747,40141693,6115795
564,AGENT ALLIANCE INS CO,10389,FOREIGN,58373074,8406669,49966405,159093
565,AGRI GEN INS CO,42757,FOREIGN,120543907,9065750,111478157,11430426
566,AGRINATIONAL INS CO,10541,FOREIGN,1034554634,771508821,263045810,0
567,AIG ASSUR CO,40258,FOREIGN,34446201,1315191,33131010,321147
568,AIG PROP CAS CO,19402,FOREIGN,4179989808,3228296720,951693088,253717756
569,AIG SPECIALTY INS CO,26883,FOREIGN,106306227,59468191,46838036,36987272
570,AIU INS CO,19399,FOREIGN,72144724,6248475,65896249,339824
571,AIX SPECIALTY INS CO,12833,FOREIGN,54228963,6532679,47696284,11779110
572,ALAMANCE INS CO,10957,FOREIGN,475029484,103433888,371595596,0
573,ALASKA NATL INS CO,38733,FOREIGN,951411306,513407916,438003390,284148
574,ALEA NORTH AMERICA INS CO,24899,FOREIGN,101202856,19535983,81666873,0
575,ALFA MUT INS CO,19135,FOREIGN,1251217413,799400830,451816583,0
576,ALLEGHENY CAS CO,13285,FOREIGN,34944159,12100181,22843978,1099332
577,ALLEGIANT INS CO INC A RRG,11965,FOREIGN,25967701,16389691,9578010,758018
578,ALLIANCE OF NONPROFITS FOR INS RRG,10023,FOREIGN,99198518,64034304,35164213,3708281
579,ALLIANZ GLOBAL RISKS US INS CO,35300,FOREIGN,8002547196,6070698710,1931848486,18144050
580,ALLIANZ UNDERWRITERS INS CO,36420,FOREIGN,93739626,23024634,70714992,3277929
581,ALLIED EASTERN IND CO,11242,FOREIGN,77337918,60458819,16879099,125730
582,ALLIED INS CO OF AMER,10127,FOREIGN,50114062,35940195,14173867,22949029
583,ALLIED PROFESSIONALS INS CO RRG,11710,FOREIGN,48261462,28439466,19821996,1426236
584,ALLIED PROP & CAS INS CO,42579,FOREIGN,390671077,331687059,58984018,76095744
585,ALLIED WORLD ASSUR CO US INC,19489,FOREIGN,337442688,196661829,140780862,30692151
586,ALLIED WORLD INS CO,22730,FOREIGN,1713438807,682767904,1030670903,8052776
587,ALLIED WORLD NATL ASSUR CO,10690,FOREIGN,306193787,150719352,155474434,18047152
588,ALLIED WORLD SPECIALTY INS CO,16624,FOREIGN,795181092,382075989,413105102,4754353
589,ALLIED WORLD SURPLUS LINES INS CO,24319,FOREIGN,265485962,168305254,97180707,21664560
590,ALLMERICA FIN ALLIANCE INS CO,10212,FOREIGN,20254414,29699,20224715,0
591,ALLMERICA FIN BENEFIT INS CO,41840,FOREIGN,40536835,33092,40503743,3608158
592,ALLSTATE FIRE & CAS INS CO,29688,FOREIGN,261958503,3253436,258705067,988550508
593,ALLSTATE IND CO,19240,FOREIGN,121677726,10877786,110799940,118582887
594,ALLSTATE INS CO,19232,FOREIGN,45624230940,30064283316,15559947624,517053288
595,ALLSTATE NORTHBROOK IND CO,36455,FOREIGN,58155190,343907,57811283,0
596,ALLSTATE PROP & CAS INS CO,17230,FOREIGN,250646632,14170517,236476115,204308731
597,ALLSTATE VEHICLE & PROP INS CO,37907,FOREIGN,59379662,4775770,54603892,0
